Time,Power (W)
00:00,1955.53539
01:00,1740.018149
02:00,1805.807623
03:00,1624.319419
04:00,1549.455535
05:00,1510.889292
06:00,1156.987296
07:00,1122.958258
08:00,1200.090744
09:00,1095.735027
10:00,911.9782214
11:00,1132.032668
12:00,952.8130672
13:00,294.9183303
14:00,242.7404719
15:00,206.4428312
16:00,353.9019964
17:00,601.1796733
18:00,614.7912886
19:00,789.4736842
20:00,755.4446461
21:00,998.185118
22:00,1181.941924
23:00,1892.014519
