0,"54531"
1,"18693"
2,"11798"
3,"9941"
4,"13602"
5,"17027"
6,"31818"
7,"61170"
8,"95900"
9,"108995"
10,"113248"
11,"133071"
12,"137201"
13,"142556"
14,"150842"
15,"213548"
16,"277994"
17,"352041"
18,"347549"
19,"275070"
20,"218541"
21,"183362"
22,"136033"
23,"72272"
